Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2020-02-14,600570,39.76,39.87,41.48,39.28,232035,2245798688.0,5.5,-0.28,-0.11,2.89
2020-02-17,600570,40.89,41.02,41.21,40.18,221540,2170572544.0,2.58,2.88,1.15,2.76
2020-02-18,600570,40.8,41.22,41.29,40.58,156761,1539859120.0,1.73,0.49,0.2,1.95
2020-02-19,600570,41.14,40.15,41.18,40.12,211709,2063060816.0,2.57,-2.6,-1.07,2.64
2020-02-20,600570,40.39,43.72,44.23,40.3,435686,4451374336.0,9.79,8.89,3.57,5.42
2020-02-21,600570,42.97,42.98,44.21,42.63,309554,3208625776.0,3.61,-1.69,-0.74,3.85
2020-02-24,600570,42.38,42.71,43.66,42.02,252705,2598968560.0,3.82,-0.63,-0.27,3.15
2020-02-25,600570,41.65,42.3,42.82,40.37,277496,2781005808.0,5.74,-0.96,-0.41,3.46
2020-02-26,600570,41.57,39.54,41.86,39.44,326645,3174561920.0,5.72,-6.52,-2.76,4.07
2020-02-27,600570,40.14,42.03,43.55,40.14,387240,3868296992.0,8.62,6.3,2.49,4.82
2020-02-28,600570,41.19,40.04,41.86,39.93,302334,2961852224.0,4.59,-4.73,-1.99,3.76
2020-03-02,600570,40.59,40.8,41.78,39.57,255229,2505293152.0,5.52,1.9,0.76,3.18
2020-03-03,600570,41.65,43.15,44.95,41.65,453683,4758206208.0,8.09,5.76,2.35,5.65
2020-03-04,600570,42.96,42.83,44.1,41.24,254260,2611352416.0,6.63,-0.74,-0.32,3.17
2020-03-05,600570,43.63,42.0,43.97,41.23,269626,2734598272.0,6.4,-1.94,-0.83,3.36
2020-03-06,600570,41.14,40.99,41.94,40.86,137330,1360390512.0,2.57,-2.4,-1.01,1.71
2020-03-09,600570,39.87,37.9,39.87,37.71,332827,3095323296.0,5.27,-7.54,-3.09,4.14
2020-03-10,600570,37.85,40.2,40.27,37.85,267181,2514638480.0,6.39,6.07,2.3,3.33
2020-03-11,600570,40.29,38.94,40.51,38.85,150006,1424508112.0,4.13,-3.13,-1.26,1.87
2020-03-12,600570,37.66,37.92,38.61,37.3,194671,1770926672.0,3.36,-2.62,-1.02,2.42
2020-03-13,600570,35.9,38.18,38.56,35.31,234582,2100314880.0,8.57,0.69,0.26,2.92
2020-03-16,600570,38.18,35.31,38.18,35.01,262898,2304730960.0,8.3,-7.52,-2.87,3.27
2020-03-17,600570,35.94,36.16,36.71,34.68,238243,2061743152.0,5.75,2.41,0.85,2.97
2020-03-18,600570,36.7,36.1,37.92,35.72,212321,1890828624.0,6.08,-0.17,-0.06,2.64
2020-03-19,600570,36.25,36.66,37.3,35.34,203155,1778642880.0,5.43,1.55,0.56,2.53
2020-03-20,600570,37.17,36.95,37.42,36.18,135124,1196376608.0,3.38,0.79,0.29,1.68
2020-03-23,600570,35.65,34.83,36.15,34.68,174495,1481568272.0,3.98,-5.74,-2.12,2.17
2020-03-24,600570,35.86,36.26,36.26,35.12,183987,1588531360.0,3.27,4.11,1.43,2.29
2020-03-25,600570,37.19,37.23,37.79,36.96,163053,1465277376.0,2.29,2.68,0.97,2.03
2020-03-26,600570,36.83,37.2,37.76,36.72,114886,1032941408.0,2.79,-0.08,-0.03,1.43
2020-03-27,600570,37.74,37.02,37.83,37.02,100067,901565920.0,2.18,-0.48,-0.18,1.25
2020-03-30,600570,36.32,36.45,36.94,35.82,105623,920830480.0,3.03,-1.54,-0.57,1.32
2020-03-31,600570,37.08,36.54,37.3,36.49,84920,753399600.0,2.22,0.25,0.09,1.06
2020-04-01,600570,36.42,36.06,37.17,35.94,95731,842508608.0,3.37,-1.31,-0.48,1.19
2020-04-02,600570,35.99,37.3,37.3,35.87,117781,1035783104.0,3.97,3.44,1.24,1.47
2020-04-03,600570,37.01,36.66,37.21,36.58,82528,731840512.0,1.69,-1.72,-0.64,1.03
2020-04-07,600570,37.85,38.41,38.85,37.68,176322,1628628592.0,3.19,4.77,1.75,2.2
2020-04-08,600570,38.28,38.23,38.82,38.06,95975,886145504.0,1.98,-0.47,-0.18,1.19
2020-04-09,600570,38.61,38.91,39.73,38.59,125858,1183244512.0,2.98,1.78,0.68,1.57
2020-04-10,600570,38.91,37.88,38.91,37.56,104785,961062000.0,3.47,-2.65,-1.03,1.3
2020-04-13,600570,37.38,37.43,38.05,37.08,77959,702581248.0,2.56,-1.19,-0.45,0.97
2020-04-14,600570,37.83,38.29,38.32,37.68,92065,841398496.0,1.71,2.3,0.86,1.15
2020-04-15,600570,38.61,38.18,38.95,38.15,107358,993512080.0,2.09,-0.29,-0.11,1.34
2020-04-16,600570,38.02,38.98,39.27,37.7,145381,1345214400.0,4.11,2.1,0.8,1.81
2020-04-17,600570,39.52,39.63,40.46,39.5,202041,1942175008.0,2.46,1.67,0.65,2.52
2020-04-20,600570,39.54,40.31,40.66,39.54,118329,1141630048.0,2.83,1.72,0.68,1.47
2020-04-21,600570,40.16,39.81,40.32,39.39,85388,816781888.0,2.31,-1.24,-0.5,1.06
2020-04-22,600570,39.45,40.0,40.13,39.35,70984,678084000.0,1.96,0.48,0.19,0.88
2020-04-23,600570,40.1,39.6,40.36,39.55,58602,560902608.0,2.03,-1.0,-0.4,0.73
2020-04-24,600570,39.65,39.41,39.87,39.16,61196,580179632.0,1.79,-0.48,-0.19,0.76
2020-04-27,600570,40.41,41.65,42.28,40.4,248832,2480015088.0,4.77,5.68,2.24,3.1
2020-04-28,600570,40.81,42.0,42.96,40.35,220879,2209208320.0,6.27,0.84,0.35,2.75
2020-04-29,600570,42.0,41.42,42.15,41.23,76399,764089632.0,2.19,-1.38,-0.58,0.95
2020-04-30,600570,41.69,42.75,43.51,41.69,139850,1442294016.0,4.39,3.21,1.33,1.74
2020-05-06,600570,42.41,43.29,43.55,42.18,118816,1225152960.0,3.2,1.26,0.54,1.48
2020-05-07,600570,43.34,42.92,43.71,42.47,86175,888243728.0,2.86,-0.85,-0.37,1.07
2020-05-08,600570,43.34,43.08,44.32,42.96,98927,1035935664.0,3.17,0.37,0.16,1.23
2020-05-11,600570,43.64,42.7,43.93,42.18,97173,1000311040.0,4.06,-0.88,-0.38,1.21
2020-05-12,600570,42.7,43.54,43.67,42.44,87749,909304464.0,2.88,1.97,0.84,1.09
2020-05-13,600570,43.34,43.76,43.86,42.96,71043,741328480.0,2.07,0.51,0.22,0.88
